p,gamma,root_id,n_roots_at_point,residual_inf,re_phi,rho_Jg,n_near_zero_components_full,n_large_components_full
1,0.0,0,1,0.0,1.2899505352200838e+16,1.0,8,0
1,0.39269908169872414,0,1,1.1920928955078125e-07,1.0483712289150744e+16,1.0,7,1
1,0.7853981633974483,0,1,1.9073486328125e-06,8043734497615874.0,1.0,7,1
1,1.1780972450961724,0,1,2.6973983046972182e-06,6612697474377031.0,1.0000000000000073,7,1
1,1.5707963267948966,0,1,3.814697265625e-06,6578619805333756.0,1.0000000000000462,7,1
1,1.9634954084936207,0,1,1.9073486328125e-06,8103888011167246.0,1.000000000000005,7,1
1,2.356194490192345,0,1,3.814697265625e-06,1.1186986152019468e+16,1.0000000000004738,7,1
1,2.748893571891069,0,1,7.62939453125e-06,1.568872845745104e+16,1.0000000000113016,7,1
1,3.141592653589793,0,1,3.814697265625e-06,2.1353841661440896e+16,1.0000000000205427,7,1
1,3.5342917352885173,0,1,7.62939453125e-06,2.783482322270893e+16,1.0000000000268994,7,1
1,3.9269908169872414,0,1,1.52587890625e-05,3.471940921055464e+16,1.0000000000000757,7,1
1,4.319689898685965,0,1,1.7059844799040144e-05,4.156103345282144e+16,1.0000000000032505,7,1
1,4.71238898038469,0,1,1.52587890625e-05,4.7910802692667336e+16,1.0000000001289286,7,1
1,5.105088062083414,0,1,7.62939453125e-06,5.3349122878368104e+16,1.000000000031271,7,1
1,5.497787143782138,0,1,1.7059844799040144e-05,5.751499656733796e+16,1.000000000235536,7,1
1,5.890486225480862,0,1,7.62939453125e-06,6.013109701513803e+16,1.0000000000034874,7,1
1,6.283185307179586,0,1,7.62939453125e-06,6.102297096068979e+16,1.0000000000206506,7,1
2,0.0,0,1,0.0,1.2899505352200838e+16,1.0,32,0
2,0.39269908169872414,0,1,2.9490749542362644e-06,4825457943504151.0,1.0000000000000007,27,5
2,0.7853981633974483,0,1,1.9073486328125e-06,-5117342443376561.0,1.0000000000000009,27,5
2,1.1780972450961724,0,1,2.6973983046972182e-06,-1.3448520398590648e+16,1.0000000000000009,27,5
2,1.5707963267948966,0,1,3.996623662529042e-06,-1.8381237626754884e+16,1.0000000000000273,27,5
2,1.9634954084936207,0,1,4.76837158203125e-06,-1.871255365743299e+16,1.0000000000000007,27,5
2,2.356194490192345,0,1,7.688768146799611e-06,-1.3713924283408054e+16,1.0000000000569602,27,5
2,2.748893571891069,0,1,7.62939453125e-06,-3114317897715699.0,1.000000000013536,27,5
2,3.141592653589793,0,1,7.629545704361442e-06,1.2910857812746554e+16,1.000000000583027,27,5
2,3.5342917352885173,0,1,7.62939453125e-06,3.376655039336559e+16,1.0000000004895961,27,5
2,3.9269908169872414,0,1,1.5260294550736743e-05,5.848653631712992e+16,1.000000000119381,27,5
2,4.319689898685965,0,2,1.7059844799040144e-05,8.580355080231651e+16,1.0000000008033456,27,5
2,4.319689898685965,1,2,1.7059844799040144e-05,8.580355080231651e+16,1.0000000000374423,27,5
2,4.71238898038469,0,2,1.5259688822486464e-05,1.1423786362388589e+17,1.0000000010720551,27,5
2,4.71238898038469,1,2,1.5259342527310823e-05,1.1423786362388589e+17,1.0000000001736926,27,5
2,5.105088062083414,0,1,1.7059844799040144e-05,1.4219908710684102e+17,1.0000000014730508,27,5
2,5.497787143782138,0,1,1.7059844799040144e-05,1.6809473963927312e+17,1.000000003717603,27,5
2,5.890486225480862,0,1,8.529922399520072e-06,1.9043843801559536e+17,1.0000000028000673,27,5
2,6.283185307179586,0,3,1.5263474297190416e-05,2.0795051019092522e+17,1.0000000030614045,27,5
2,6.283185307179586,1,3,1.525906368183138e-05,2.0795051019092522e+17,1.000000007524084,27,5
2,6.283185307179586,2,3,1.5327621204673897e-05,2.0795051019092522e+17,1.000000015329245,27,5
3,0.0,0,1,0.0,1.2899505352200838e+16,1.0,128,0
3,0.39269908169872414,0,1,2.9490749542362644e-06,2660944325489664.5,1.000000000000002,113,15
3,0.7853981633974483,0,1,1.9073486328125e-06,-9142125776054084.0,1.000000000000001,113,15
3,1.1780972450961724,0,1,2.6973983046972182e-06,-1.9468702527236828e+16,1.00000000000167,113,15
3,1.5707963267948966,0,1,3.996623662529042e-06,-2.7801049301771824e+16,1.0000000000050595,113,15
3,1.9634954084936207,0,1,6.877043295791606e-06,-3.2923147594354628e+16,1.0000000000020568,113,15
3,2.356194490192345,0,1,8.529922399520072e-06,-3.1513394197500988e+16,1.0000000004382812,113,15
3,2.748893571891069,0,1,1.0789593218788873e-05,-1.7770948807583682e+16,1.0000000008348915,113,15
3,3.141592653589793,0,1,1.52587890625e-05,1.5831659681631936e+16,1.0000000062224053,113,15
3,3.5342917352885173,0,1,2.1579186437577746e-05,7.681332875380013e+16,1.0000000027403924,113,15
