objective,train_n,p,n,N,mean_p,mean_p2,R_n,relative_se_mean,N_eff,top1_weight,top5_weight
mean_p,12,2,12,500,0.0056139890575287879,4.3651515571653722e-05,1.3850205057,0.0277496128152,361.005485437,0.00880533969238,0.0372130253509
mean_p,12,2,13,500,0.0036072542504312901,1.7727944414659122e-05,1.36240074897,0.0269221376927,366.999211045,0.00890151338065,0.037213898753
mean_p,12,2,14,500,0.0023665687950119823,7.7219597202950338e-06,1.37876187027,0.0275231491757,362.644203311,0.00925692905209,0.0353072494781
mean_p,12,2,15,500,0.001376362150250638,2.628667625892401e-06,1.38761898894,0.0278430956949,360.329459302,0.00769584707674,0.0325713791264
mean_p,12,2,16,500,0.0008828543302526337,1.1495968492307234e-06,1.47491659408,0.0308193638505,339.002220199,0.012700869439,0.0453671589813
mean_p,12,2,17,500,0.00056299331545501706,4.4489620430277893e-07,1.40362864844,0.0284122737015,356.219574568,0.00849963322405,0.0377785848149
mean_p,12,2,18,500,0.00034947562840321973,1.7071665276806164e-07,1.39779054355,0.0282060469954,357.70738492,0.00825159955038,0.0367120887884
mean_p,12,2,19,500,0.00021828442838896602,6.8610272840079506e-08,1.43993747546,0.0296626861717,347.237299203,0.00907995852011,0.0421608043305
mean_p,12,2,20,500,0.00013832970232351811,2.6346712147266335e-08,1.37687825701,0.0274546264593,363.140312119,0.00935941103764,0.0357894249229
mean_p,12,5,12,2000,0.027157727629423065,0.0010892826550797103,1.47690898147,0.0154419717244,1354.17959068,0.00270902837483,0.0121775915713
mean_p,12,5,13,2000,0.018772569095813423,0.00052547733142450177,1.49109928764,0.0156700237339,1341.29230466,0.00305249743974,0.0118528265155
mean_p,12,5,14,2000,0.012873811195588352,0.00025259874138155953,1.52411210051,0.0161881453618,1312.23943392,0.00326130442372,0.0130699466833
mean_p,12,5,15,2000,0.0085020214010891378,0.00011423419765624118,1.58034442256,0.0170344419128,1265.54690955,0.00332602086167,0.0135108283386
mean_p,12,5,16,2000,0.0056886074755976151,5.1917669827262847e-05,1.60436528726,0.0173834013827,1246.59889857,0.00382385621582,0.0144373033204
mean_p,12,5,17,2000,0.0037784540791925168,2.3398710196610033e-05,1.63894213914,0.0178737536508,1220.29933348,0.0032520977455,0.0128607717927
mean_p,12,5,18,1000,0.002641742213754399,1.1411427448104779e-05,1.63515565744,0.0252022946861,611.562572314,0.00490508694999,0.0241525903942
mean_p,12,5,19,1000,0.0017655969343517077,5.1006303035271334e-06,1.63621629933,0.0252233284744,611.166140082,0.00575001514736,0.0237173095232
mean_p,12,5,20,1000,0.0012438023033274682,2.6588025479465562e-06,1.71863389547,0.0268073477888,581.857487295,0.00777819368503,0.0294291422028
mean_p,12,10,12,2000,0.0768326284858077,0.0094120144324117572,1.59437766791,0.0172391656978,1254.40793625,0.00346075973144,0.0127226204009
mean_p,12,10,13,2000,0.056905911538644438,0.0053239310117106546,1.64405995185,0.017945193672,1216.50064996,0.00342153303267,0.0141845406264
mean_p,12,10,14,2000,0.042057136877108686,0.00295093835665123,1.66832527603,0.018280115919,1198.8069885,0.00352599401255,0.0140086091345
mean_p,12,10,15,2000,0.029147405683591913,0.0015155911801709155,1.78394827479,0.0197983367331,1121.10873856,0.00396498020904,0.0165284796612
mean_p,12,10,16,2000,0.020801203354371196,0.00078566033925801934,1.81575776772,0.020196011583,1101.46850839,0.00395279098397,0.0161585705133
mean_p,12,10,17,2000,0.014748661631902773,0.00041787463107554479,1.92105934905,0.021459955138,1041.09224995,0.00359390612948,0.0160971677355
mean_p,12,10,18,1000,0.011201146023164636,0.00023771484231584311,1.89466041258,0.029910874487,527.799068034,0.00617804445352,0.028359779241
mean_p,12,10,19,1000,0.0080148425999406418,0.00012127202110695891,1.88786363018,0.0297970406279,529.699277009,0.00651084705227,0.0293911742871
mean_p,12,10,20,1000,0.006014288787708562,7.4940404694552525e-05,2.0717983294,0.0327383311946,482.672461797,0.00889951264238,0.0379989990049
mean_p,12,20,12,2000,0.17208362062043253,0.046307577822984586,1.56377042525,0.0167894375315,1278.96011314,0.00250245697269,0.0102482902676
mean_p,12,20,13,2000,0.13495108982801005,0.029806857856338125,1.63667860102,0.0178420654777,1221.98701611,0.0026034559178,0.0120010014062
mean_p,12,20,14,2000,0.10697817433225418,0.01906866276950403,1.66621052786,0.0182511715769,1200.32850985,0.00275136119532,0.0121061374651
mean_p,12,20,15,2000,0.078702426277224638,0.011343969514261898,1.83142360855,0.0203890118514,1092.04664102,0.00330549565618,0.0159998292148
mean_p,12,20,16,2000,0.059998516847430926,0.006749097188159775,1.87484190701,0.0209146110053,1066.7566116,0.00363658939459,0.0165823886458
mean_p,12,20,17,2000,0.044452753691058874,0.003982536329703512,2.01540535396,0.0225322585859,992.356200736,0.0036183411951,0.0168250615631
mean_p,12,20,18,1000,0.036750591625779726,0.0027267535528456548,2.01891120241,0.0319203885066,495.316484849,0.00719431022538,0.029229217594
mean_p,12,20,19,1000,0.027925606405706283,0.0015584625443592689,1.99844013813,0.0315981033944,500.390269852,0.00624861161472,0.0294502153217
mean_p,12,20,20,1000,0.022027492158722788,0.0010740898975173845,2.21365797931,0.0348375943387,451.740968725,0.00843732071599,0.0372075358596
