seed,n,p,objective,train_n,X,p_succ,angle_id,eval_index,trial,delta_gamma,delta_beta
1216935791,12,2,mean_p,12,0.63501989810729398,0.0050825253555953206,mean_p|train_n=12|p=2,0,1,-1.7764899999999999,1.29064
2260314959,12,2,mean_p,12,0.63070275977256574,0.0052683499048486876,mean_p|train_n=12|p=2,1,3,-1.7764899999999999,1.29064
1769420166,12,2,mean_p,12,0.67717951772593843,0.0035791824114688509,mean_p|train_n=12|p=2,2,4,-1.7764899999999999,1.29064
1744918561,12,2,mean_p,12,0.5999137870924075,0.0068060551402419536,mean_p|train_n=12|p=2,3,6,-1.7764899999999999,1.29064
389127389,12,2,mean_p,12,0.53968875866933308,0.011231815058557158,mean_p|train_n=12|p=2,4,9,-1.7764899999999999,1.29064
3394316332,12,2,mean_p,12,0.65243048514514301,0.0043973015271687064,mean_p|train_n=12|p=2,5,10,-1.7764899999999999,1.29064
1040504255,12,2,mean_p,12,0.59327567299283568,0.0071924147131433164,mean_p|train_n=12|p=2,6,12,-1.7764899999999999,1.29064
2732655119,12,2,mean_p,12,0.65216326080781084,0.0044070863216257271,mean_p|train_n=12|p=2,7,18,-1.7764899999999999,1.29064
1877312817,12,2,mean_p,12,0.73902759110340976,0.0021397662314572544,mean_p|train_n=12|p=2,8,21,-1.7764899999999999,1.29064
3679680443,12,2,mean_p,12,0.61224829475416709,0.0061424097171611331,mean_p|train_n=12|p=2,9,22,-1.7764899999999999,1.29064
1320326900,12,2,mean_p,12,0.56599370260670379,0.0090245803891756474,mean_p|train_n=12|p=2,10,23,-1.7764899999999999,1.29064
2005589621,12,2,mean_p,12,0.55493962734780611,0.0098936904141749688,mean_p|train_n=12|p=2,11,24,-1.7764899999999999,1.29064
3896826472,12,2,mean_p,12,0.71392825894642131,0.0026365387074376218,mean_p|train_n=12|p=2,12,25,-1.7764899999999999,1.29064
1591439311,12,2,mean_p,12,0.57986999911559545,0.0080408292566203597,mean_p|train_n=12|p=2,13,26,-1.7764899999999999,1.29064
2713997097,12,2,mean_p,12,0.71698094853686545,0.0025704356625947718,mean_p|train_n=12|p=2,14,27,-1.7764899999999999,1.29064
349278084,12,2,mean_p,12,0.57185973523726108,0.0085948202140920214,mean_p|train_n=12|p=2,15,28,-1.7764899999999999,1.29064
2560814193,12,2,mean_p,12,0.59346389145305001,0.0071811633865284082,mean_p|train_n=12|p=2,16,29,-1.7764899999999999,1.29064
2134005312,12,2,mean_p,12,0.62332348006620297,0.0056018467802685101,mean_p|train_n=12|p=2,17,32,-1.7764899999999999,1.29064
499365932,12,2,mean_p,12,0.5939679805954462,0.0071511165537005601,mean_p|train_n=12|p=2,18,34,-1.7764899999999999,1.29064
1059630829,12,2,mean_p,12,0.76197494127320098,0.0017679592098048336,mean_p|train_n=12|p=2,19,37,-1.7764899999999999,1.29064
176839923,12,2,mean_p,12,0.66878571961631705,0.0038380024946508273,mean_p|train_n=12|p=2,20,38,-1.7764899999999999,1.29064
3530515497,12,2,mean_p,12,0.64837915303827887,0.0045480069163576463,mean_p|train_n=12|p=2,21,42,-1.7764899999999999,1.29064
1907554926,12,2,mean_p,12,0.69227532152869931,0.0031568384349992583,mean_p|train_n=12|p=2,22,43,-1.7764899999999999,1.29064
1421420137,12,2,mean_p,12,0.66241991759256491,0.0040466982441699417,mean_p|train_n=12|p=2,23,45,-1.7764899999999999,1.29064
247320122,12,2,mean_p,12,0.65329507378867868,0.0043657920052675835,mean_p|train_n=12|p=2,24,47,-1.7764899999999999,1.29064
3688305417,12,2,mean_p,12,0.61866352686993886,0.0058232395267240776,mean_p|train_n=12|p=2,25,48,-1.7764899999999999,1.29064
2190912315,12,2,mean_p,12,0.68700908312427311,0.003298191774397244,mean_p|train_n=12|p=2,26,49,-1.7764899999999999,1.29064
1650338280,12,2,mean_p,12,0.737548019641456,0.0021662624621036188,mean_p|train_n=12|p=2,27,50,-1.7764899999999999,1.29064
759544395,12,2,mean_p,12,0.56474382602879192,0.0091188909467562092,mean_p|train_n=12|p=2,28,53,-1.7764899999999999,1.29064
400983577,12,2,mean_p,12,0.66746743601032998,0.0038803184396744815,mean_p|train_n=12|p=2,29,55,-1.7764899999999999,1.29064
2246369622,12,2,mean_p,12,0.69666204934196096,0.0030437285339662708,mean_p|train_n=12|p=2,30,58,-1.7764899999999999,1.29064
246364635,12,2,mean_p,12,0.68376448614460961,0.0033884146939945148,mean_p|train_n=12|p=2,31,59,-1.7764899999999999,1.29064
1011783682,12,2,mean_p,12,0.68918172940729872,0.0032391236259452431,mean_p|train_n=12|p=2,32,62,-1.7764899999999999,1.29064
1191433144,12,2,mean_p,12,0.70123627130785193,0.0029300982257718239,mean_p|train_n=12|p=2,33,63,-1.7764899999999999,1.29064
745893647,12,2,mean_p,12,0.60850821449456338,0.0063364979390440664,mean_p|train_n=12|p=2,34,65,-1.7764899999999999,1.29064
459429138,12,2,mean_p,12,0.63557879943565498,0.0050589524933918936,mean_p|train_n=12|p=2,35,66,-1.7764899999999999,1.29064
2773371315,12,2,mean_p,12,0.54427752746835034,0.010811193966102977,mean_p|train_n=12|p=2,36,67,-1.7764899999999999,1.29064
2383592401,12,2,mean_p,12,0.57238062694164771,0.0085576623741049213,mean_p|train_n=12|p=2,37,68,-1.7764899999999999,1.29064
518995986,12,2,mean_p,12,0.70086307364551548,0.0029392078830384866,mean_p|train_n=12|p=2,38,70,-1.7764899999999999,1.29064
110869963,12,2,mean_p,12,0.63873597870177345,0.0049278301822667037,mean_p|train_n=12|p=2,39,73,-1.7764899999999999,1.29064
3241305971,12,2,mean_p,12,0.57451795914093307,0.0084068700633695165,mean_p|train_n=12|p=2,40,75,-1.7764899999999999,1.29064
835075558,12,2,mean_p,12,0.61597354312384023,0.005955001069429703,mean_p|train_n=12|p=2,41,78,-1.7764899999999999,1.29064
1129056341,12,2,mean_p,12,0.69868221555422882,0.0029930112425854121,mean_p|train_n=12|p=2,42,79,-1.7764899999999999,1.29064
3094628288,12,2,mean_p,12,0.57913730056869117,0.0080899830381703005,mean_p|train_n=12|p=2,43,80,-1.7764899999999999,1.29064
1483851466,12,2,mean_p,12,0.56398645102721223,0.0091765182596333858,mean_p|train_n=12|p=2,44,81,-1.7764899999999999,1.29064
2504705298,12,2,mean_p,12,0.59485754688440518,0.0070983992543157777,mean_p|train_n=12|p=2,45,82,-1.7764899999999999,1.29064
1236624494,12,2,mean_p,12,0.70794179289373182,0.0027711460914231212,mean_p|train_n=12|p=2,46,84,-1.7764899999999999,1.29064
2602280346,12,2,mean_p,12,0.69779522842688069,0.0030151745931394787,mean_p|train_n=12|p=2,47,86,-1.7764899999999999,1.29064
1853360839,12,2,mean_p,12,0.70409325483784579,0.0028612890088086655,mean_p|train_n=12|p=2,48,89,-1.7764899999999999,1.29064
3906058522,12,2,mean_p,12,0.63051617735270471,0.0052765324627086409,mean_p|train_n=12|p=2,49,90,-1.7764899999999999,1.29064
2596027815,12,2,mean_p,12,0.63161049855443718,0.005228721763712682,mean_p|train_n=12|p=2,50,91,-1.7764899999999999,1.29064
1194309501,12,2,mean_p,12,0.67627072630152363,0.0036063403771269022,mean_p|train_n=12|p=2,51,92,-1.7764899999999999,1.29064
3456561530,12,2,mean_p,12,0.69979503288023792,0.0029654352892138605,mean_p|train_n=12|p=2,52,93,-1.7764899999999999,1.29064
3127328354,12,2,mean_p,12,0.55985172114304949,0.0094976041729431266,mean_p|train_n=12|p=2,53,94,-1.7764899999999999,1.29064
473068648,12,2,mean_p,12,0.57657463289584199,0.0082642774525503917,mean_p|train_n=12|p=2,54,96,-1.7764899999999999,1.29064
2658263978,12,2,mean_p,12,0.65444282375133456,0.0043243113467931514,mean_p|train_n=12|p=2,55,97,-1.7764899999999999,1.29064
3690326698,12,2,mean_p,12,0.70443319959772388,0.0028532099098444331,mean_p|train_n=12|p=2,56,104,-1.7764899999999999,1.29064
3614482719,12,2,mean_p,12,0.71417051379701413,0.0026312313802994529,mean_p|train_n=12|p=2,57,108,-1.7764899999999999,1.29064
1914954199,12,2,mean_p,12,0.66317802770929368,0.0040212609298488017,mean_p|train_n=12|p=2,58,109,-1.7764899999999999,1.29064
756378783,12,2,mean_p,12,0.63341342019407454,0.005150895396421021,mean_p|train_n=12|p=2,59,110,-1.7764899999999999,1.29064
1153582550,12,2,mean_p,12,0.7476313532987473,0.0019919867416363667,mean_p|train_n=12|p=2,60,111,-1.7764899999999999,1.29064
952645053,12,2,mean_p,12,0.71772968402492232,0.0025544772307209327,mean_p|train_n=12|p=2,61,114,-1.7764899999999999,1.29064
1159550776,12,2,mean_p,12,0.69461591838926395,0.0030959738030336176,mean_p|train_n=12|p=2,62,116,-1.7764899999999999,1.29064
3103407018,12,2,mean_p,12,0.64348733456437246,0.0047368771943390574,mean_p|train_n=12|p=2,63,119,-1.7764899999999999,1.29064
2418865089,12,2,mean_p,12,0.52220370478798883,0.012990092755148164,mean_p|train_n=12|p=2,64,120,-1.7764899999999999,1.29064
351327017,12,2,mean_p,12,0.70151393119127015,0.0029233389429848093,mean_p|train_n=12|p=2,65,121,-1.7764899999999999,1.29064
327723643,12,2,mean_p,12,0.61117353578232769,0.0061975665375256315,mean_p|train_n=12|p=2,66,123,-1.7764899999999999,1.29064
285600187,12,2,mean_p,12,0.66775980126366896,0.0038708936455055256,mean_p|train_n=12|p=2,67,124,-1.7764899999999999,1.29064
1850516328,12,2,mean_p,12,0.66186825943539473,0.0040653094429318783,mean_p|train_n=12|p=2,68,125,-1.7764899999999999,1.29064
3172434666,12,2,mean_p,12,0.66898349536786339,0.0038316939695754505,mean_p|train_n=12|p=2,69,126,-1.7764899999999999,1.29064
2800487157,12,2,mean_p,12,0.69153012242772072,0.0031764665251428855,mean_p|train_n=12|p=2,70,130,-1.7764899999999999,1.29064
1026275448,12,2,mean_p,12,0.51232720368856555,0.014102292852993848,mean_p|train_n=12|p=2,71,131,-1.7764899999999999,1.29064
1848878152,12,2,mean_p,12,0.60897395096708373,0.006311998546164467,mean_p|train_n=12|p=2,72,132,-1.7764899999999999,1.29064
3144591696,12,2,mean_p,12,0.67124474491100561,0.0037602989047007419,mean_p|train_n=12|p=2,73,133,-1.7764899999999999,1.29064
3421347873,12,2,mean_p,12,0.61530663521841289,0.0059881263472174994,mean_p|train_n=12|p=2,74,135,-1.7764899999999999,1.29064
2362435647,12,2,mean_p,12,0.51848442487507285,0.013398236204792564,mean_p|train_n=12|p=2,75,138,-1.7764899999999999,1.29064
1207252360,12,2,mean_p,12,0.69859646490839022,0.0029951467807895304,mean_p|train_n=12|p=2,76,141,-1.7764899999999999,1.29064
2893742452,12,2,mean_p,12,0.6149246950403674,0.0060071802104633074,mean_p|train_n=12|p=2,77,143,-1.7764899999999999,1.29064
535864074,12,2,mean_p,12,0.63089041395610945,0.0052601331434406311,mean_p|train_n=12|p=2,78,144,-1.7764899999999999,1.29064
2520069139,12,2,mean_p,12,0.6713559993080831,0.0037568207785490552,mean_p|train_n=12|p=2,79,145,-1.7764899999999999,1.29064
2716547109,12,2,mean_p,12,0.5915709734289466,0.0072951245194678143,mean_p|train_n=12|p=2,80,146,-1.7764899999999999,1.29064
2999967642,12,2,mean_p,12,0.64720349786778042,0.0045926992422554956,mean_p|train_n=12|p=2,81,147,-1.7764899999999999,1.29064
2279752443,12,2,mean_p,12,0.71486153090108451,0.0026161511824039268,mean_p|train_n=12|p=2,82,148,-1.7764899999999999,1.29064
607702022,12,2,mean_p,12,0.65645980263628612,0.0042523685892125783,mean_p|train_n=12|p=2,83,151,-1.7764899999999999,1.29064
579225230,12,2,mean_p,12,0.69572293615496328,0.0030675971849051845,mean_p|train_n=12|p=2,84,152,-1.7764899999999999,1.29064
613980955,12,2,mean_p,12,0.68139822444296649,0.0034557661428324597,mean_p|train_n=12|p=2,85,153,-1.7764899999999999,1.29064
2174401019,12,2,mean_p,12,0.7340203965405504,0.0022307665235769126,mean_p|train_n=12|p=2,86,154,-1.7764899999999999,1.29064
3550750151,12,2,mean_p,12,0.74671751946463616,0.0020071856353490055,mean_p|train_n=12|p=2,87,155,-1.7764899999999999,1.29064
3678326529,12,2,mean_p,12,0.57803844081135858,0.0081642649096932782,mean_p|train_n=12|p=2,88,156,-1.7764899999999999,1.29064
137743900,12,2,mean_p,12,0.55603720429441605,0.0098037781183726719,mean_p|train_n=12|p=2,89,157,-1.7764899999999999,1.29064
2018677586,12,2,mean_p,12,0.55780904621034921,0.0096603518110412595,mean_p|train_n=12|p=2,90,158,-1.7764899999999999,1.29064
2645522932,12,2,mean_p,12,0.71139633087424536,0.0026926529837406027,mean_p|train_n=12|p=2,91,159,-1.7764899999999999,1.29064
4256185716,12,2,mean_p,12,0.69633031087357644,0.0030521387620735213,mean_p|train_n=12|p=2,92,161,-1.7764899999999999,1.29064
