gamma,competitor_index,classification,re_phi_m,im_phi_m,im_mod_abs,full_conv2_exponent,lambda_exact_interp,abs_gap_to_exact,signed_re_gap_vs_seed,z_distance_from_seed,physically_feasible,impossible_if_physical,strict_exact_match,loose_exact_match,near_real_phase,high_re_bad_match
-0.3,0,physical_feasible_but_not_explanatory,-0.05028420162654845,0.12343690899690224,0.12343690899690207,-0.7398935766265484,-0.5576450530090665,0.1822485236174819,-0.18880818701077995,1.803911850571737,True,False,False,False,False,False
-0.3,1,physical_feasible_but_not_explanatory,-1.4727113546722297,-0.6184641283317323,0.6184641283317323,-2.1623207296722295,-0.5576450530090665,1.6046756766631631,-1.6112353400564612,3.618057924825923,True,False,False,False,False,False
-0.3,2,physical_feasible_but_not_explanatory,-0.21697053618019901,0.09126187085995839,0.09126187085995818,-0.906579911180199,-0.5576450530090665,0.34893485817113246,-0.3554945215644305,2.0727566603037486,True,False,False,False,False,False
-0.3,3,physical_feasible_but_not_explanatory,0.019856198152791937,0.5096497137034777,0.5096497137034777,-0.669753176847208,-0.5576450530090665,0.1121081238381415,-0.11866778723143956,3.223678782948449,True,False,False,False,False,False
-0.3,4,physical_feasible_but_not_explanatory,-1.6640021305806205,-0.4727257839207475,0.4727257839207475,-2.3536115055806204,-0.5576450530090665,1.795966452571554,-1.802526115964852,3.927078924198981,True,False,False,False,False,False
-0.3,5,physical_feasible_but_not_explanatory,-1.2815373512800794,5.617958685145593,0.6652266220339929,-1.9711467262800793,-0.5576450530090665,1.4135016732710128,-1.420061336664311,4.050214185346387,True,False,False,False,False,False
-0.3,6,physical_feasible_but_not_explanatory,-1.0442719024989664,0.5423778482750052,0.542377848275005,-1.7338812774989663,-0.5576450530090665,1.1762362244898998,-1.182795887883198,3.047768986583716,True,False,False,False,False,False
-0.3,7,physical_feasible_but_not_explanatory,-0.21697053618020035,-0.09126187085995906,0.09126187085995907,-0.9065799111802003,-0.5576450530090665,0.3489348581711338,-0.35549452156443184,2.0727566603037433,True,False,False,False,False,False
-0.3,8,physical_feasible_but_not_explanatory,-0.050284201626546454,-0.1234369089969015,0.12343690899690163,-0.7398935766265464,-0.5576450530090665,0.1822485236174799,-0.18880818701077795,1.8039118505717027,True,False,False,False,False,False
-0.3,9,physical_feasible_but_not_explanatory,-1.2815373512800816,-5.617958685145594,0.665226622033992,-1.9711467262800815,-0.5576450530090665,1.413501673271015,-1.4200613366643131,4.050214185346376,True,False,False,False,False,False
-0.3,10,physical_feasible_but_not_explanatory,-1.4727113546722328,0.6184641283317327,0.6184641283317327,-2.1623207296722327,-0.5576450530090665,1.6046756766631662,-1.6112353400564643,3.6180579248259193,True,False,False,False,False,False
-0.3,11,physical_feasible_but_not_explanatory,-4.859935511918897,-4.047680392330644,2.235504914848942,-5.549544886918897,-0.5576450530090665,4.99189983390983,-4.998459497303128,3.0232005974256304,True,False,False,False,False,False
-0.3,12,physical_feasible_but_not_explanatory,-3.655902645762735,4.402224186450895,1.8809611207286911,-4.345512020762735,-0.5576450530090665,3.7878669677536685,-3.7944266311469663,3.9113573498828025,True,False,False,False,False,False
-0.3,13,physical_feasible_but_not_explanatory,-1.0391978759393807,-0.7535596368772541,0.7535596368772541,-1.7288072509393806,-0.5576450530090665,1.1711621979303142,-1.1777218613236122,2.8217764609223113,True,False,False,False,False,False
-0.3,14,physical_feasible_but_not_explanatory,-0.7600747048598822,0.9980320476298539,0.9980320476298541,-1.4496840798598822,-0.5576450530090665,0.8920390268508157,-0.8985986902441137,2.918626226699035,True,False,False,False,False,False
-0.3,15,physical_feasible_but_not_explanatory,-3.6559026457627333,-4.402224186450894,1.880961120728692,-4.345512020762733,-0.5576450530090665,3.7878669677536667,-3.7944266311469645,3.9113573498827994,True,False,False,False,False,False
