label,beta,gamma,n,inv_n,log_abs_S_over_n,delta_n,numerical_uncertainty,im_log_S_over_n,e_saddle
small_gamma_control,0.5434,-0.1,18,0.05555555555555555,-0.6395387780079456,0.0008466631091657018,0.0,-4.0606596994049914e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,19,0.05263157894736842,-0.63957757708141,0.0008078640357012112,0.0,-4.089564661938526e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,20,0.05,-0.6396146530460463,0.0007707880710650095,0.0,-4.116793828001608e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,21,0.047619047619047616,-0.6396498577625782,0.0007355833545330537,0.0,-4.142474172310241e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,22,0.045454545454545456,-0.6396831446609272,0.0007022964561840261,0.0,-4.1667206281237675e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,23,0.043478260869565216,-0.6397145310367366,0.0006709100803746759,0.0,-4.1896377452889115e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,24,0.041666666666666664,-0.639744073411813,0.0006413677052982125,0.0,-4.211320937106637e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,25,0.04,-0.6397718513641707,0.0006135897529405687,0.0,-4.231857472589197e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,26,0.038461538461538464,-0.6397979569110269,0.0005874842060843433,0.0,-4.251327301414783e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,27,0.037037037037037035,-0.6398224875657352,0.0005629535513760331,0.0,-4.26980376154825e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,28,0.03571428571428571,-0.6398455418424408,0.0005398992746704634,0.0,-4.287354199091305e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,29,0.034482758620689655,-0.6398672163992654,0.0005182247178459054,0.0,-4.304040518626458e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,30,0.03333333333333333,-0.6398876042808779,0.0004978368362333896,0.0,-4.319919675970668e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,31,0.03225806451612903,-0.6399067938983347,0.00047864721877655114,0.0,-4.335044121621339e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,32,0.03125,-0.63992486850139,0.0004605726157212997,0.0,-4.349462201043791e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,33,0.030303030303030304,-0.6399419059769655,0.00044353514014572326,0.0,-4.363218516649297e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,34,0.029411764705882353,-0.6399579788604342,0.00042746225667711357,0.0,-4.376354255479344e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,35,0.02857142857142857,-0.6399731544823618,0.00041228663474945915,0.0,-4.388907486041951e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,36,0.027777777777777776,-0.6399874951979706,0.00039794591914066313,0.0,-4.400913427327647e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,37,0.02702702702702703,-0.6400010586634944,0.0003843824536168272,0.0,-4.412404692704053e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,38,0.02631578947368421,-0.6400138981352645,0.0003715429818467175,0.0,-4.423411511114884e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,39,0.02564102564102564,-0.6400260627754245,0.00035937834168675575,0.0,-4.433961927772862e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,40,0.025,-0.6400375979537527,0.00034784316335856325,0.0,-4.44408198632615e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,41,0.024390243902439025,-0.640048545538923,0.00033689557818827875,0.0,-4.453795894288829e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,42,0.023809523809523808,-0.6400589441751895,0.00032649694192177225,0.0,-4.463126173354259e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,43,0.023255813953488372,-0.6400688295422999,0.00031661157481133184,0.0,-4.472093796053885e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,44,0.022727272727272728,-0.6400782345976709,0.0003072065194403839,0.0,-4.480718310081779e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,45,0.022222222222222223,-0.6400871898006846,0.0002982513164266898,0.0,-4.489017951475764e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,46,0.021739130434782608,-0.6400957233194979,0.0002897177976133314,0.0,-4.497009747728561e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,47,0.02127659574468085,-0.6401038612210955,0.00028157989601573785,0.0,-4.504709611795886e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,48,0.020833333333333332,-0.640111627645514,0.00027381347159727287,0.0,-4.512132427872255e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,49,0.02040816326530612,-0.6401190449652693,0.0002663961518419855,0.0,-4.519292129718333e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,50,0.02,-0.6401261339310568,0.00025930718605449155,0.0,-4.526201772245385e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,51,0.0196078431372549,-0.6401329138047909,0.00025252731232039416,0.0,-4.5328735969919145e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,52,0.019230769230769232,-0.6401394024810168,0.0002460386360945144,0.0,-4.539319092064193e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,53,0.018867924528301886,-0.6401456165976795,0.00023982451943171945,0.0,-4.545549047055459e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,54,0.018518518518518517,-0.6401515716371754,0.0002338694799358665,0.0,-4.551573603407455e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,55,0.01818181818181818,-0.6401572820185465,0.000228159098564773,0.0,-4.557402300632063e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,56,0.017857142857142856,-0.6401627611816137,0.0002226799354975162,0.0,-4.563044118769686e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,57,0.017543859649122806,-0.64016802166378,0.0002174194533313134,0.0,-4.568507517424026e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,58,0.017241379310344827,-0.6401730751701715,0.00021236594693974098,0.0,-4.573800471679836e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,59,0.01694915254237288,-0.6401779326377292,0.00020750847938211248,0.0,-4.578930505180435e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,60,0.016666666666666666,-0.640182604293803,0.00020283682330823893,0.0,-4.583904720615151e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,61,0.01639344262295082,-0.6401870997097562,0.00019834140735508488,0.0,-4.588729827842825e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,62,0.016129032258064516,-0.6401914278500336,0.00019401326707768618,0.0,-4.593412169856057e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,63,0.015873015873015872,-0.6401955971171123,0.00018984399999899537,0.0,-4.597957746771503e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,64,0.015625,-0.6401996153927062,0.00018582572440506429,0.0,-4.602372238014137e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,65,0.015384615384615385,-0.6402034900755663,0.00018195104154494768,0.0,-4.606661022847806e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,66,0.015151515151515152,-0.640207228116183,0.0001782130009282401,0.0,-4.610829199390263e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,67,0.014925373134328358,-0.6402108360486689,0.00017460506844235724,0.0,-4.614881602238235e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,68,0.014705882352941176,-0.6402143200200728,0.00017112109703842915,0.0,-4.618822818816645e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,69,0.014492753623188406,-0.6402176858173539,0.00016775529975732173,0.0,-4.622657204555794e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,70,0.014285714285714285,-0.6402209388922204,0.000164502224890839,0.0,-4.626388896991019e-22,-0.6403854411171113
