beta,gamma,n,inv_n,delta_n,delta_uncertainty,log_abs_Sn_over_n,e_saddle_re,log_S_complex_real,log_S_complex_imag
0.5434,-0.3,18,0.05555555555555555,-0.0075928579573951716,1.971336277904926e-15,-0.5586782618908579,-0.5510854039334627,-10.056208714035442,1.982600980924249e-15
0.5434,-0.3,19,0.05263157894736842,-0.0073060533185117515,1.9708268105230735e-15,-0.5583914572519745,-0.5510854039334627,-10.609437687787516,2.3219613231035718e-15
0.5434,-0.3,20,0.05,-0.007038903355963799,2.55351295663786e-15,-0.5581243072894265,-0.5510854039334627,-11.162486145788531,-1.4938407479489667e-14
0.5434,-0.3,21,0.047619047619047616,-0.00678948342162744,1.969909198053715e-15,-0.5578748873550902,-0.5510854039334627,-11.715372634456893,9.793155522451156e-16
0.5434,-0.3,22,0.045454545454545456,-0.006556128592014376,1.9694946766061247e-15,-0.5576415325254771,-0.5510854039334627,-12.268113715560496,-6.258183530360729e-15
0.5434,-0.3,23,0.043478260869565216,-0.006337384516855504,1.969106109072138e-15,-0.5574227884503182,-0.5510854039334627,-12.82072413435732,-9.805891087232855e-15
0.5434,-0.3,24,0.041666666666666664,-0.006131970911154361,2.1094237467877974e-15,-0.5572173748446171,-0.5510854039334627,-13.373216996270811,-2.957714063600964e-14
0.5434,-0.3,25,0.04,-0.005938753660942875,1.9683979984248418e-15,-0.5570241575944056,-0.5510854039334627,-13.92560393986014,6.734433472522833e-15
0.5434,-0.3,26,0.038461538461538464,-0.005756722972125372,2.55351295663786e-15,-0.5568421269055881,-0.5510854039334627,-14.47789529954529,-3.7988892917504254e-14
0.5434,-0.3,27,0.037037037037037035,-0.005584975880164933,4.107825191113079e-15,-0.5566703798136277,-0.5510854039334627,-15.030100254967948,2.848703176139446e-14
0.5434,-0.3,28,0.03571428571428571,-0.0054227019916497365,1.9674813065126088e-15,-0.5565081059251125,-0.5510854039334627,-15.582226965903148,1.2745443934723894e-13
0.5434,-0.3,29,0.034482758620689655,-0.005269171680492235,7.105427357601002e-15,-0.556354575613955,-0.5510854039334627,-16.134282692804693,-1.5228089687285326e-13
0.5434,-0.3,30,0.03333333333333333,-0.0051237261906106335,1.9669502188036176e-15,-0.5562091301240734,-0.5510854039334627,-16.6862739037222,-9.453636499283175e-15
0.5434,-0.3,31,0.03225806451612903,-0.004985769248722072,2.9976021664879227e-15,-0.5560711731821848,-0.5510854039334627,-17.238206368647727,9.805436979583335e-14
0.5434,-0.3,32,0.03125,-0.0048547598940946735,4.218847493575595e-15,-0.5559401638275574,-0.5510854039334627,-17.790085242481837,1.0149061115923554e-13
0.5434,-0.3,33,0.030303030303030304,-0.004730206303777962,2.1094237467877974e-14,-0.5558156102372407,-0.5510854039334627,-18.34191513782894,-1.9235084550920833e-13
0.5434,-0.3,34,0.029411764705882353,-0.004611660442403576,4.884981308350689e-15,-0.5556970643758663,-0.5510854039334627,-18.893700188779455,6.22741543816212e-14
0.5434,-0.3,35,0.02857142857142857,-0.004498713402347976,2.7755575615628914e-15,-0.5555841173358107,-0.5510854039334627,-19.445444106753374,-1.1145353095292058e-12
0.5434,-0.3,36,0.027777777777777776,-0.004390991327280824,3.930189507173054e-14,-0.5554763952607435,-0.5510854039334627,-19.99715022938677,-3.6748468242301775e-14
0.5434,-0.3,37,0.02702702702702703,-0.004288151831937648,5.384581669432009e-14,-0.5553735557654004,-0.5510854039334627,-20.548821563319812,-3.764932020373598e-13
0.5434,-0.3,38,0.02631578947368421,-0.004189880848052385,4.163336342344337e-14,-0.5552752847815151,-0.5510854039334627,-21.100460821697574,1.010396052755181e-12
0.5434,-0.3,39,0.02564102564102564,-0.004095889836239541,1.6209256159527285e-13,-0.5551812937697023,-0.5510854039334627,-21.65207045701839,-3.778031810037092e-13
0.5434,-0.3,40,0.025,-0.004005913315596521,7.105427357601002e-14,-0.5550913172490592,-0.5510854039334627,-22.20365268996237,5.055754294698715e-13
0.5434,-0.3,41,0.024390243902439025,-0.003919706669522904,2.609024107869118e-14,-0.5550051106029856,-0.5510854039334627,-22.75520953472241,-2.536001725543763e-12
0.5434,-0.3,42,0.023809523809523808,-0.003837044191644101,8.459899447643693e-14,-0.5549224481251068,-0.5510854039334627,-23.306742821254485,2.2568762619156315e-12
0.5434,-0.3,43,0.023255813953488372,-0.0037577173425995536,1.6819878823071122e-13,-0.5548431212760623,-0.5510854039334627,-23.85825421487068,-5.803292068181311e-14
0.5434,-0.3,44,0.022727272727272728,-0.003681533192460784,8.326672684688674e-15,-0.5547669371259235,-0.5510854039334627,-24.409745233540633,1.18059672297486e-13
0.5434,-0.3,45,0.022222222222222223,-0.0036083130253311557,8.171241461241152e-14,-0.5546937169587939,-0.5510854039334627,-24.961217263145727,4.933402288415262e-12
0.5434,-0.3,46,0.021739130434782608,-0.003537891086745959,1.4199752484955752e-13,-0.5546232950202087,-0.5510854039334627,-25.512671570929598,9.572810855759243e-13
0.5434,-0.3,47,0.02127659574468085,-0.003470113458935109,2.90878432451791e-14,-0.5545555173923978,-0.5510854039334627,-26.064109317442696,-4.658713200470481e-13
0.5434,-0.3,48,0.020833333333333332,-0.003404837049419185,2.731148640577885e-13,-0.5544902409828819,-0.5510854039334627,-26.615531567178333,4.3263713415570946e-12
0.5434,-0.3,49,0.02040816326530612,-0.003341928677992323,5.814237979961945e-13,-0.554427332611455,-0.5510854039334627,-27.166939297961296,2.2268900849372128e-12
0.5434,-0.3,50,0.02,-0.00328126425050268,1.9118040484045196e-13,-0.5543666681839654,-0.5510854039334627,-27.718333409198273,-2.3094995963391393e-12
0.5434,-0.3,51,0.0196078431372549,-0.003222728017909904,6.160627563644994e-13,-0.5543081319513726,-0.5510854039334627,-28.269714729520004,-3.259195209615123e-11
0.5434,-0.3,52,0.019230769230769232,-0.0031662118964922437,1.142419492339286e-13,-0.554251615829955,-0.5510854039334627,-28.821084023157656,7.254858697982621e-12
0.5434,-0.3,53,0.018867924528301886,-0.00311161486289957,2.16382467499443e-13,-0.5541970187963623,-0.5510854039334627,-29.3724419962072,1.3167579511929549e-11
0.5434,-0.3,54,0.018518518518518517,-0.0030588423923120223,3.7969627442180354e-13,-0.5541442463257747,-0.5510854039334627,-29.92378930159184,-5.89491212733761e-11
0.5434,-0.3,55,0.01818181818181818,-0.0030078059604667917,5.565659044748372e-12,-0.5540932098939295,-0.5510854039334627,-30.475126544166123,-1.1276013300210569e-11
0.5434,-0.3,56,0.017857142857142856,-0.002958422579758535,1.0341727474383333e-12,-0.5540438265132213,-0.5510854039334627,-31.02645428474039,6.959355534770744e-13
0.5434,-0.3,57,0.017543859649122806,-0.0029106143765093018,3.113065361048939e-13,-0.553996018309972,-0.5510854039334627,-31.577773043668405,3.653694572705481e-12
0.5434,-0.3,58,0.017241379310344827,-0.0028643082286015087,7.636891119489064e-12,-0.5539497121620642,-0.5510854039334627,-32.129083305399725,5.305344116229989e-11
0.5434,-0.3,59,0.01694915254237288,-0.0028194353855705012,3.927969061123804e-12,-0.5539048393190332,-0.5510854039334627,-32.68038551982296,4.493036907574021e-11
0.5434,-0.3,60,0.016666666666666666,-0.0027759311798054576,1.84297022087776e-14,-0.5538613351132682,-0.5510854039334627,-33.23168010679609,-1.309029215274769e-10
0.5434,-0.3,61,0.01639344262295082,-0.0027337347103051357,8.586353850148498e-12,-0.5538191386437679,-0.5510854039334627,-33.78296745726984,-2.368296107960086e-10
0.5434,-0.3,62,0.016129032258064516,-0.0026927886046547167,1.1991962978186166e-11,-0.5537781925381174,-0.5510854039334627,-34.33424793736328,-1.3610430490967536e-10
0.5434,-0.3,63,0.015873015873015872,-0.0026530387396045407,1.2641443447591882e-11,-0.5537384426730673,-0.5510854039334627,-34.88552188840324,-1.3218337793372484e-10
0.5434,-0.3,64,0.015625,-0.002614433991570353,3.0722646648939644e-11,-0.5536998379250331,-0.5510854039334627,-35.43678962720212,3.196649468531132e-11
0.5434,-0.3,65,0.015384615384615385,-0.002576926182494721,1.0737633004964664e-11,-0.5536623301159574,-0.5510854039334627,-35.98805145753723,-3.352135015237796e-10
0.5434,-0.3,66,0.015151515151515152,-0.0025404696764300683,4.1708192455303106e-11,-0.5536258736098928,-0.5510854039334627,-36.53930765825292,1.4637340690148777e-10
0.5434,-0.3,67,0.014925373134328358,-0.002505021336814961,8.06787969764855e-12,-0.5535904252702777,-0.5510854039334627,-37.0905584931086,1.059680843969071e-09
0.5434,-0.3,68,0.014705882352941176,-0.0024705402696519885,1.723732268033018e-12,-0.5535559442031147,-0.5510854039334627,-37.6418042058118,2.493755205728297e-09
0.5434,-0.3,69,0.014492753623188406,-0.0024369878594590055,1.2155021433812863e-10,-0.5535223917929217,-0.5510854039334627,-38.1930450337116,-8.976127691054871e-10
0.5434,-0.3,70,0.014285714285714285,-0.0024043273924371222,7.803480084334069e-11,-0.5534897313258998,-0.5510854039334627,-38.74428119281299,-1.5193929043709652e-09
0.5434,-0.3,71,0.014084507042253521,-0.002372524053578906,1.390233483888892e-10,-0.5534579279870416,-0.5510854039334627,-39.29551288707996,1.3464611206883821e-09
0.5434,-0.3,72,0.013888888888888888,-0.0023415449279896583,3.146617411076136e-10,-0.5534269488614524,-0.5510854039334627,-39.84674031802457,5.557739183229475e-10
0.5434,-0.3,73,0.0136986301369863,-0.0023113585362194433,1.1456346982186005e-10,-0.5533967624696822,-0.5510854039334627,-40.3979636602868,4.193201173969493e-09
0.5434,-0.3,74,0.013513513513513514,-0.0022819350617185874,6.712956857057861e-10,-0.5533673389951813,-0.5510854039334627,-40.94918308564342,7.812407215982186e-09
0.5434,-0.3,75,0.013333333333333334,-0.0022532462472188985,9.376834864127659e-10,-0.5533386501806816,-0.5510854039334627,-41.500398763551125,-9.671115625275355e-09
