beta,Gamma,gamma,gamma_AS,region,lambda_abs_100,seed_re_phi,comp_re_phi,phi_pref_conv2,seed_full_exponent,comp_full_exponent,seed_error_full_minus_lambda,comp_error_full_minus_lambda,seed_residual_inf,comp_residual_inf,comp_certified
0.4,1.0,-1.0,1.746484375,inside_abs_gamma_lt_gamma_AS,-0.5036140578364674,0.18784957831043847,0.10701422461996435,-0.689609375,-0.5017597966895615,-0.5825951503800356,0.0018542611469059,-0.07898109254356822,3.820199830714189e-15,5.329070518200751e-15,True
0.4,1.3,-1.3,1.746484375,inside_abs_gamma_lt_gamma_AS,-0.5528701804975984,0.13828250379562657,0.07777976240738282,-0.689609375,-0.5513268712043734,-0.6118296125926171,0.0015433092932249926,-0.05895943209501875,1.0555880013644903e-14,5.329070518200751e-15,True
0.4,1.5,-1.5,1.746484375,inside_abs_gamma_lt_gamma_AS,-0.6035388880247659,0.08701751870337038,0.0522006462192488,-0.689609375,-0.6025918562966296,-0.6374087287807512,0.0009470317281362606,-0.033869840755985314,1.832615477661292e-14,5.329070518200751e-15,True
0.4,1.6,-1.6,1.746484375,inside_abs_gamma_lt_gamma_AS,-0.6326267659947717,0.0568643066077823,0.03667537504884533,-0.689609375,-0.6327450683922177,-0.6529339999511546,-0.00011830239744592408,-0.020307233956382897,5.329070518200751e-15,3.9968028886505635e-15,True
0.4,1.7,-1.7,1.746484375,inside_abs_gamma_lt_gamma_AS,-0.6614220467397233,0.024483885645568915,0.018935188976919592,-0.689609375,-0.665125489354431,-0.6706741860230804,-0.003703442614707786,-0.009252139283357108,1.0923150274288002e-14,3.9968028886505635e-15,True
0.4,1.75,-1.75,1.746484375,outside_abs_gamma_gt_gamma_AS,-0.6734406722022029,0.00812832793135776,0.009714243343612372,-0.689609375,-0.6814810470686422,-0.6798951316563876,-0.00804037486643927,-0.006454459454184658,2.7090913443508544e-11,0.0,True
0.4,1.8,-1.8,1.746484375,outside_abs_gamma_gt_gamma_AS,-0.6821221914984633,-0.00823412790355782,0.004456059143486124,-0.689609375,-0.6978435029035578,-0.6851533158565138,-0.015721311405094474,-0.00303112435805053,4.965068306494546e-15,3.552713678800501e-15,True
0.4,1.825,-1.825,1.746484375,outside_abs_gamma_gt_gamma_AS,-0.6851516169765334,-0.01710878810348193,0.0026242179940499932,-0.689609375,-0.7067181631034819,-0.68698515700595,-0.021566546126948527,-0.0018335400294166027,1.0555880013644903e-14,7.549516567451064e-15,True
0.4,1.85,-1.85,1.746484375,outside_abs_gamma_gt_gamma_AS,-0.6874697831299916,-0.02635270101941467,0.0011439256725768177,-0.689609375,-0.7159620760194146,-0.6884654493274232,-0.02849229288942301,-0.0009956661974315217,8.881784197001252e-15,1.887379141862766e-15,True
0.4,1.875,-1.875,1.746484375,outside_abs_gamma_gt_gamma_AS,-0.6892363423649622,-0.03592748078468633,-5.6629136707342376e-05,-0.689609375,-0.7255368557846863,-0.6896660041367073,-0.03630051341972407,-0.00042966177174508235,1.2568587680026249e-14,5.551115123125783e-15,True
0.4,1.9,-1.9,1.746484375,outside_abs_gamma_gt_gamma_AS,-0.6905886105948106,-0.045804743851053153,-0.001028973269858624,-0.689609375,-0.7354141188510531,-0.6906383482698586,-0.04482550825624254,-4.973767504801163e-05,4.705040823708615e-15,6.63358257213531e-14,True
