beta,gamma_AS,region,n_points,rmse_seed_full_exponent,rmse_comp_full_exponent,rmse_seed_re_phi_raw,rmse_comp_re_phi_raw,mean_signed_error_seed_full_exponent,mean_signed_error_comp_full_exponent
0.4,1.746484375,inside_abs_gamma_lt_gamma_AS,5,0.002022198789795467,0.047664199473937525,0.6897169029786734,0.6498356578073977,0.00010457143122268863,-0.04027394772686246
0.4,1.746484375,outside_abs_gamma_gt_gamma_AS,10,0.06620891635132849,0.0023870386858513546,0.6370559316807134,0.6885790323384143,-0.05372929464794911,-0.0010337042368886884
0.45,1.7824218749999998,inside_abs_gamma_lt_gamma_AS,6,0.0023753775903628915,0.04809394016462686,0.6894032467245668,0.6506861550053001,-0.00021018849418453592,-0.03950181568577709
0.45,1.7824218749999998,outside_abs_gamma_gt_gamma_AS,9,0.05683963840559358,0.0025208231085001283,0.6445585305848429,0.6882438334151488,-0.045921747534448304,-0.0013687969388871772
0.5,1.816796875,inside_abs_gamma_lt_gamma_AS,7,0.0029360556491123124,0.04868827476570088,0.6890151839288495,0.6511783967758239,-0.0006001853050206586,-0.03907888705835721
0.5,1.816796875,outside_abs_gamma_gt_gamma_AS,8,0.050160662559517386,0.0030456106272310785,0.6496452967434334,0.6877306879822672,-0.04063037177781745,-0.0018828533468100705
0.5433996421,1.8332031249999998,inside_abs_gamma_lt_gamma_AS,8,0.0032117361879229157,0.04889606484205281,0.6886966164827557,0.6519163042280702,-0.0009196335116786816,-0.03839640921829334
0.5433996421,1.8332031249999998,outside_abs_gamma_gt_gamma_AS,7,0.04654609885932292,0.0032450024858370055,0.6517621154152613,0.6874659442308908,-0.038379535020341145,-0.0021477344705133866
0.575,1.8488281250000003,inside_abs_gamma_lt_gamma_AS,8,0.002704234526694049,0.05126630490587671,0.6890767837157598,0.6495924089849541,-0.0005376878150836831,-0.04076150088281293
0.575,1.8488281250000003,outside_abs_gamma_gt_gamma_AS,7,0.04254955644625638,0.004061045597308605,0.6553709364000436,0.6867536930130457,-0.0347011600326589,-0.002861726837876396
0.625,1.873046875,inside_abs_gamma_lt_gamma_AS,9,0.0029595439032553635,0.051958405021964735,0.6887944721010205,0.6498804238020827,-0.0008207720429280875,-0.04054193774493174
0.625,1.873046875,outside_abs_gamma_gt_gamma_AS,6,0.04056339208829139,0.004102744823125584,0.656008771614871,0.6865937537140443,-0.03397500971470041,-0.0030212321024728297
0.65,1.876953125,inside_abs_gamma_lt_gamma_AS,10,0.0036618005790221247,0.05105084559922933,0.6882255566298452,0.6516201703065468,-0.0013921519504507985,-0.03883244233299022
0.65,1.876953125,outside_abs_gamma_gt_gamma_AS,5,0.04208315340550151,0.03746652683730905,0.6530556193083882,0.7047361234655524,-0.03686901731736112,0.014274873362991092
