saddle_id,beta,gamma,certified,box_radius,residual,jacobian_cond,re_phi,im_phi,det_hessian_re_phi,nearest_action_gap,re_phi_plus_pref,re_phi_plus_pref_conv2,matches_lambda_abs_conv1,matches_lambda_abs,matches_lambda_local,matches_lambda_abs_full,matches_lambda_abs_conv2,controls_finite_n,is_bm24_seed_saddle,source,z_real,z_imag,krawczyk_contraction,proof
0,0.5433996420760803,0.7487887432117251,False,nan,2.053820231083309,13.728838184958347,-0.0958274551219574,5.9737228002946015e-15,nan,0.055155425208784914,-25.220590845890797,-0.7854368301219574,True,True,False,True,False,False,False,BM24_ITERATE,"[5.339284901847094, -0.857747413245904, -5.7792003328982275, -0.018204269954217995, -0.857747413245904, 0.947033519481058, -0.01820426995428062, -0.2355664167698711]","[2.211604219718966, -2.2777853857392687, 1.0735931542975497e-27, 0.5590390059911646, 2.2777853857392687, 0.39227412779097837, -0.559039005991163, 1.3178843798868747e-14]",inf,"{""reason"": ""inclusion/contraction failed"", ""dps_used"": 255}"
1,0.5433996420760803,0.7487887432117251,True,1e-12,1.6401643046719712e-14,19.01926841007498,-0.20801231431187106,7.703744402104514e-17,-2.7203221708484405e-55,0.0011195778910404464,-25.332775705080714,-0.897621689311871,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847094, -0.8577474132459019, -5.7792003328982275, -0.5159205866174738, -0.8577474132459024, 0.46491592012121635, -0.5159205866174917, -0.1209317435571735]","[2.211604219718966, -2.2777853857392656, -1.3439997298031569e-17, -0.34979439886666513, 2.277785385739267, 0.1925744794773571, 0.3497943988666731, 3.92948125275431e-15]",5.7453204307570845e-06,"{""contraction_bound"": 5.7453204307570845e-06, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847094, -0.8577474132459019, -5.7792003328982275, -0.5159205866174738, -0.8577474132459024, 0.46491592012121635, -0.5159205866174917, -0.1209317435571735], ""box_center_imag"": [2.211604219718966, -2.2777853857392656, -1.3439997298031569e-17, -0.34979439886666513, 2.277785385739267, 0.1925744794773571, 0.3497943988666731, 3.92948125275431e-15], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
2,0.5433996420760803,0.7487887432117251,True,1e-12,2.4270818620517472e-14,5.768082655555881,-0.22378984579740252,0.6692475764781136,8.746617487017899e-59,0.0,-25.348553236566243,-0.9133992207974024,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847097, -0.857747413245904, -5.7792003328982275, 1.0319099440636499, -0.8577474132459035, -0.2289144521873388, -0.43301985564498857, 0.3349387473781987]","[2.2116042197189705, -2.2777853857392687, 1.2188267619142395e-15, 3.0799355489173093, 2.2777853857392696, -0.21997591591302107, 0.46800554202612954, 0.1546349522862514]",7.4515857530199225e-06,"{""contraction_bound"": 7.4515857530199225e-06, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847097, -0.857747413245904, -5.7792003328982275, 1.0319099440636499, -0.8577474132459035, -0.2289144521873388, -0.43301985564498857, 0.3349387473781987], ""box_center_imag"": [2.2116042197189705, -2.2777853857392687, 1.2188267619142395e-15, 3.0799355489173093, 2.2777853857392696, -0.21997591591302107, 0.46800554202612954, 0.1546349522862514], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
3,0.5433996420760803,0.7487887432117251,True,1e-12,7.993605777301127e-15,14.788303138591194,-0.2114199598360691,8.648884794764898e-16,-5.566489663683962e-59,0.0004555651302021735,-25.33618335060491,-0.9010293348360691,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847091, -0.8577474132459035, -5.779200332898225, 0.6943027053029632, -0.8577474132459034, 2.0830662053908933, 0.6943027053029658, -1.7882208189080746]","[2.2116042197189647, -2.2777853857392683, 1.0324546423450651e-22, 2.7871961484697563, 2.2777853857392674, 0.8628342735939657, -2.7871961484697536, -2.7869854618481207e-16]",8.489648744138452e-06,"{""contraction_bound"": 8.489648744138452e-06, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847091, -0.8577474132459035, -5.779200332898225, 0.6943027053029632, -0.8577474132459034, 2.0830662053908933, 0.6943027053029658, -1.7882208189080746], ""box_center_imag"": [2.2116042197189647, -2.2777853857392683, 1.0324546423450651e-22, 2.7871961484697563, 2.2777853857392674, 0.8628342735939657, -2.7871961484697536, -2.7869854618481207e-16], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
4,0.5433996420760803,0.7487887432117251,True,1e-12,3.552713678800503e-15,26.7679000896688,-0.1990365675376529,4.077051884460195e-16,5.581962639604774e-59,0.008975746774218168,-25.323799958306495,-0.8886459425376528,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847089, -0.8577474132459052, -5.7792003328982275, -0.5338851142437968, -0.857747413245902, 2.074262509717645, -0.5338851142437953, -0.5527309634844911]","[2.211604219718965, -2.277785385739272, -1.264191909399727e-22, 0.6572424512233288, 2.277785385739267, 0.8591876634471036, -0.6572424512233284, -4.180585576203717e-16]",6.043946372839161e-06,"{""contraction_bound"": 6.043946372839161e-06, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847089, -0.8577474132459052, -5.7792003328982275, -0.5338851142437968, -0.857747413245902, 2.074262509717645, -0.5338851142437953, -0.5527309634844911], ""box_center_imag"": [2.211604219718965, -2.277785385739272, -1.264191909399727e-22, 0.6572424512233288, 2.277785385739267, 0.8591876634471036, -0.6572424512233284, -4.180585576203717e-16], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
5,0.5433996420760803,0.7487887432117251,True,1e-12,5.361971164934993e-15,5.768082852436284,-0.22378984579740252,-0.6692475764781145,4.745525979008626e-58,0.0,-25.348553236566243,-0.9133992207974024,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847094, -0.857747413245902, -5.779200332898233, -0.43301985564499307, -0.8577474132459051, -0.3174134232930966, 1.0319099440636508, 0.33493874737820656]","[2.211604219718966, -2.277785385739267, -7.88521152439226e-16, -0.46800554202613864, 2.277785385739272, -0.006320499613449951, -3.079935548917302, -0.15463495228625712]",7.572557133420438e-06,"{""contraction_bound"": 7.572557133420438e-06, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847094, -0.857747413245902, -5.779200332898233, -0.43301985564499307, -0.8577474132459051, -0.3174134232930966, 1.0319099440636508, 0.33493874737820656], ""box_center_imag"": [2.211604219718966, -2.277785385739267, -7.88521152439226e-16, -0.46800554202613864, 2.277785385739272, -0.006320499613449951, -3.079935548917302, -0.15463495228625712], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
6,0.5433996420760803,0.7487887432117251,True,1e-12,1.5390527495742233e-13,34.5971063128597,-1.87752337479419,1.1287313439126554,2.8567248083422684e-50,0.10147494221623732,-27.00228676556303,-2.56713274979419,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847084, -0.8577474132459024, -5.779200332898224, -2.2437654963410387, -0.8577474132459026, -0.3040219243988051, -0.21191990014567758, -0.08273612029530913]","[2.211604219718962, -2.277785385739267, -1.967445010635589e-15, 0.47831123778422896, 2.2777853857392647, 0.2044139313611298, 0.902270631384573, 0.007907361324571526]",6.717033791555912e-06,"{""contraction_bound"": 6.717033791555912e-06, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847084, -0.8577474132459024, -5.779200332898224, -2.2437654963410387, -0.8577474132459026, -0.3040219243988051, -0.21191990014567758, -0.08273612029530913], ""box_center_imag"": [2.211604219718962, -2.277785385739267, -1.967445010635589e-15, 0.47831123778422896, 2.2777853857392647, 0.2044139313611298, 0.902270631384573, 0.007907361324571526], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
7,0.5433996420760803,0.7487887432117251,True,1e-12,1.0857345451697879e-13,14.962364205189784,-0.6568586084974035,-0.5238700350640397,-2.3101346989129384e-52,8.659739592076221e-15,-25.781621999266246,-1.3464679834974036,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.3392849018470825, -0.857747413245904, -5.7792003328982275, -0.37675649891842056, -0.8577474132459051, -0.34482639160604, -1.4995822061580726, -0.029870833805828875]","[2.211604219718963, -2.2777853857392687, -2.8896120542371637e-15, -0.7648991233431002, 2.2777853857392683, -0.07822209241202546, -0.1146690533687471, -0.05360167519571446]",7.169185231524888e-06,"{""contraction_bound"": 7.169185231524888e-06, ""inflate_iter"": 6, ""box_center_real"": [5.3392849018470825, -0.857747413245904, -5.7792003328982275, -0.37675649891842056, -0.8577474132459051, -0.34482639160604, -1.4995822061580726, -0.029870833805828875], ""box_center_imag"": [2.211604219718963, -2.2777853857392687, -2.8896120542371637e-15, -0.7648991233431002, 2.2777853857392683, -0.07822209241202546, -0.1146690533687471, -0.05360167519571446], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
8,0.5433996420760803,0.7487887432117251,True,1e-12,1.2695991610999199e-14,14.962366420130273,-0.6568586084973949,0.5238700350640333,-5.552709741180523e-53,8.659739592076221e-15,-25.781621999266235,-1.3464679834973947,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.3392849018470825, -0.8577474132459052, -5.7792003328982275, -1.4995822061580688, -0.857747413245902, -0.2991404518198549, -0.37675649891841734, -0.029870833805829052]","[2.211604219718963, -2.2777853857392683, 2.6962189699423805e-15, 0.1146690533687419, 2.277785385739267, -0.18851770785356542, 0.7648991233431023, 0.05360167519571243]",5.359136202541814e-06,"{""contraction_bound"": 5.359136202541814e-06, ""inflate_iter"": 6, ""box_center_real"": [5.3392849018470825, -0.8577474132459052, -5.7792003328982275, -1.4995822061580688, -0.857747413245902, -0.2991404518198549, -0.37675649891841734, -0.029870833805829052], ""box_center_imag"": [2.211604219718963, -2.2777853857392683, 2.6962189699423805e-15, 0.1146690533687419, 2.277785385739267, -0.18851770785356542, 0.7648991233431023, 0.05360167519571243], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
9,0.5433996420760803,0.7487887432117251,True,1e-12,3.296839004146956e-14,30.188522292496366,-2.4174295055702717,1.3742481563726716,-4.991971546571465e-52,8.43769498715119e-15,-27.542192896339113,-3.1070388805702716,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847092, -0.8577474132459024, -5.779200332898225, -1.7680113236073, -0.8577474132459025, -0.6133914508990445, -0.4265559223135175, 0.2654801305348093]","[2.211604219718967, -2.277785385739267, 3.580152097331214e-16, 1.8854140351642417, 2.277785385739267, 0.13129921660412766, -0.6549099981281404, 0.507670868027878]",6.759510864871086e-06,"{""contraction_bound"": 6.759510864871086e-06, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847092, -0.8577474132459024, -5.779200332898225, -1.7680113236073, -0.8577474132459025, -0.6133914508990445, -0.4265559223135175, 0.2654801305348093], ""box_center_imag"": [2.211604219718967, -2.277785385739267, 3.580152097331214e-16, 1.8854140351642417, 2.277785385739267, 0.13129921660412766, -0.6549099981281404, 0.507670868027878], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
